安徽,58015 ,砀山,3427 ,11620 
安徽,58016 ,萧县,3411 ,11658 
安徽,58102 ,亳州,3352 ,11546 
安徽,58107 ,临泉,3301 ,11517 
安徽,58108 ,界首,3314 ,11520 
安徽,58109 ,太和,3311 ,11537 
安徽,58112 ,天柱山,3044 ,11627 
安徽,58113 ,濉溪,3356 ,11645 
安徽,58114 ,涡阳,3329 ,11611 
安徽,58116 ,淮北,3359 ,11650 
安徽,58117 ,利辛,3308 ,11612 
安徽,58118 ,蒙城,3316 ,11631 
安徽,58122 ,宿州,3338 ,11659 
安徽,58125 ,灵璧,3335 ,11731 
安徽,58126 ,泗县,3328 ,11752 
安徽,58127 ,怀远,3259 ,11712 
安徽,58128 ,固镇,3320 ,11721 
安徽,58129 ,五河,3309 ,11750 
安徽,58202 ,阜南,3240 ,11534 
安徽,58203 ,阜阳,3252 ,11544 
安徽,58210 ,颍上,3239 ,11614 
安徽,58212 ,凤台,3243 ,11646 
安徽,58214 ,霍邱,3220 ,11617 
安徽,58215 ,寿县,3226 ,11647 
安徽,58220 ,长丰,3228 ,11709 
安徽,58221 ,蚌埠,3251 ,11718 
安徽,58222 ,凤阳,3251 ,11733 
安徽,58223 ,明光,3248 ,11759 
安徽,58224 ,淮南,3239 ,11701 
安徽,58225 ,定远,3232 ,11740 
安徽,58234 ,来安,3228 ,11825 
安徽,58236 ,滁州,3221 ,11815 
安徽,58240 ,天长,3241 ,11901 
安徽,58306 ,金寨,3141 ,11553 
安徽,58311 ,六安,3144 ,11630 
安徽,58314 ,霍山,3124 ,11619 
安徽,58316 ,舒城,3128 ,11655 
安徽,58317 ,岳西,3052 ,11622 
安徽,58319 ,桐城,3104 ,11657 
安徽,58320 ,肥西,3144 ,11708 
安徽,58321 ,合肥,3147 ,11718 
安徽,58323 ,肥东,3153 ,11728 
安徽,58326 ,巢湖,3135 ,11750 
安徽,58327 ,庐江,3116 ,11717 
安徽,58329 ,无为,3120 ,11752 
安徽,58330 ,含山,3145 ,11805 
安徽,58331 ,和县,3144 ,11822 
安徽,58334 ,芜湖,3123 ,11822 
安徽,58335 ,当涂,3134 ,11831 
安徽,58336 ,马鞍山,3142 ,11834 
安徽,58337 ,繁昌,3105 ,11811 
安徽,58338 ,芜湖县,3109 ,11835 
安徽,58417 ,宿松,3010 ,11608 
安徽,58429 ,铜陵,3059 ,11751 
安徽,58431 ,南陵,3054 ,11819 
安徽,58432 ,泾县,3041 ,11824 
安徽,58433 ,宣城,3056 ,11845 
安徽,58435 ,旌德,3018 ,11832 
安徽,58436 ,宁国,3037 ,11859 
安徽,58437 ,黄山,3008 ,11809 
安徽,58441 ,广德,3052 ,11925 
安徽,58442 ,郎溪,3110 ,11911 
安徽,58520 ,祁门,2951 ,11743 
安徽,58523 ,黟县,2956 ,11756 
安徽,58530 ,歙县,2952 ,11826 
安徽,58531 ,屯溪,2943 ,11817 
安徽,58534 ,休宁,2947 ,11811 
北京,54398 ,顺义,4008 ,11637 
北京,54399 ,海淀,3959 ,11617 
北京,54406 ,延庆,4027 ,11558 
北京,54416 ,密云,4023 ,11652 
北京,54419 ,怀柔,4022 ,11638 
北京,54421 ,密云上甸子,4039 ,11707 
北京,54424 ,平谷,4010 ,11707 
北京,54431 ,通州,3955 ,11638 
北京,54433 ,朝阳,3957 ,11630 
北京,54499 ,昌平,4013 ,11613 
北京,54501 ,斋堂,3958 ,11541 
北京,54505 ,门头沟,3956 ,11606 
北京,54511 ,北京,3948 ,11628 
北京,54513 ,石景山,3957 ,11612 
北京,54514 ,丰台,3952 ,11615 
北京,54594 ,大兴,3943 ,11621 
